Claim_ID,Claim_Amount,Policy_Limit,Claim_Type,Customer_Tenure,Customer_Score,Legal_Cost_Predicted,Litigation_Risk,Churn_Risk,Outcome,Recommended_Action,Actual_Settlement
C100328,54377,51419,Home,18,0.37,16246,0.57,0.4,Lost,Mediate,42445
C100329,53404,28705,Home,5,0.07,6078,0.25,0.16,Settled,Litigate,27811
C100330,59045,62880,Liability,3,0.37,14853,0.38,0.38,Settled,Mediate,39661
C100331,44790,43236,Travel,11,0.46,19751,0.12,0.2,Lost,Litigate,32445
C100332,10600,107955,Liability,13,0.72,6042,0.18,0.73,Won,Settle,9291
C100333,99660,105514,Auto,4,0.66,18284,0.3,0.27,Settled,Mediate,66937
C100334,98179,35358,Travel,14,0.71,16389,0.13,0.76,Settled,Settle,75050
C100335,45764,119713,Medical,11,0.01,4575,0.82,0.43,Settled,Settle,42159
C100336,79543,114914,Auto,10,0.22,8754,0.06,0.51,Settled,Settle,67154
C100337,50714,96918,Auto,19,0.66,19965,0.46,0.44,Settled,Mediate,29282
C100338,61835,34596,Medical,18,0.48,3986,0.15,0.11,Settled,Litigate,26871
C100339,78744,53572,Auto,6,0.01,20624,0.31,0.31,Won,Mediate,61506
C100340,61491,98757,Travel,15,0.8,22350,0.84,0.09,Settled,Settle,43722
C100341,23589,21279,Liability,10,0.77,28681,0.19,0.5,Settled,Litigate,18777
C100342,48484,83197,Auto,5,0.55,25988,0.87,0.36,Settled,Settle,35518
C100343,87989,82516,Travel,5,0.07,17470,0.22,0.62,Won,Settle,79103
C100344,41212,27083,Home,10,0.77,26704,0.68,0.18,Lost,Mediate,26300
C100345,48525,37771,Travel,5,0.58,7968,0.51,0.14,Settled,Mediate,32622
C100346,52202,49975,Liability,3,0.78,27427,0.8,0.33,Settled,Settle,48034
C100347,37635,65648,Travel,6,0.75,9493,0.52,0.74,Lost,Settle,30229
C100348,68208,68285,Medical,4,0.8,6103,0.5,0.57,Settled,Settle,56910
C100349,38828,39063,Liability,18,0.52,4076,0.22,0.34,Settled,Litigate,12605
C100350,23711,87642,Home,9,0.14,23615,0.19,0.42,Settled,Litigate,7141
C100351,8420,110093,Medical,17,0.67,4994,0.83,0.08,Settled,Settle,6409
C100352,5301,106143,Travel,13,0.62,5744,0.33,0.79,Settled,Settle,4612
C100353,50236,57599,Liability,15,0.74,16466,0.37,0.54,Lost,Settle,36688
C100354,71235,71920,Home,17,0.17,16523,0.7,0.24,Won,Mediate,38453
C100355,59240,48529,Medical,13,0.19,29332,0.34,0.47,Settled,Mediate,38140
C100356,70726,55954,Home,16,0.89,7594,0.86,0.1,Lost,Settle,60962
C100357,15492,47856,Travel,4,0.75,9531,0.68,0.77,Settled,Settle,13602
C100358,11102,22573,Home,5,0.91,9371,0.56,0.15,Settled,Mediate,6244
C100359,55336,98344,Auto,5,0.76,16547,0.8,0.52,Settled,Settle,39836
C100360,90314,55367,Medical,9,0.6,20028,0.09,0.2,Won,Litigate,69559
C100361,31641,119608,Home,17,0.65,5144,0.27,0.58,Settled,Settle,24210
C100362,39584,80774,Travel,13,0.89,15990,0.45,0.62,Settled,Settle,36153
C100363,37745,43752,Travel,2,0.58,16083,0.24,0.54,Won,Settle,34569
C100364,28093,75029,Home,13,0.63,18626,0.68,0.5,Won,Mediate,21642
C100365,71105,37685,Travel,19,0.16,22469,0.83,0.72,Won,Settle,52774
C100366,56885,71693,Liability,3,0.47,9954,0.41,0.07,Settled,Mediate,44804
C100367,41631,75961,Liability,10,0.72,9269,0.34,0.27,Settled,Mediate,32024
C100368,77991,96908,Liability,2,0.27,9130,0.87,0.21,Settled,Settle,66228
C100369,9014,94532,Auto,13,0.2,8828,0.43,0.79,Settled,Settle,7069
C100370,16093,101994,Home,19,0.31,26746,0.47,0.32,Lost,Mediate,9525
C100371,23070,76133,Auto,17,0.24,10844,0.35,0.59,Settled,Settle,16851
C100372,40777,117425,Travel,14,0.21,16220,0.82,0.55,Settled,Settle,33740
C100373,61958,81268,Auto,12,0.42,8331,0.53,0.18,Won,Mediate,43670
C100374,87074,112201,Travel,12,0.91,21896,0.7,0.2,Settled,Mediate,54488
C100375,15729,58243,Travel,11,0.51,15397,0.74,0.23,Settled,Settle,12879
C100376,50017,77384,Medical,7,0.19,19883,0.34,0.33,Won,Mediate,31372
C100377,71320,51653,Liability,4,0.08,12291,0.42,0.2,Lost,Mediate,51660
C100378,32751,46657,Travel,19,0.7,20542,0.77,0.03,Won,Settle,30304
C100379,83069,59952,Medical,1,0.38,12164,0.36,0.7,Settled,Settle,61552
C100380,59748,42180,Liability,3,0.82,23546,0.72,0.77,Settled,Settle,47520
C100381,10801,117432,Travel,13,0.66,12450,0.85,0.28,Won,Settle,7941
C100382,24190,98411,Travel,15,0.8,22423,0.58,0.28,Settled,Mediate,17386
C100383,54689,21622,Auto,2,0.27,4035,0.68,0.02,Settled,Mediate,41295
C100384,55993,68756,Auto,11,0.69,13463,0.73,0.55,Lost,Settle,52240
C100385,34592,60809,Liability,4,0.26,9977,0.77,0.66,Settled,Settle,26626
C100386,15647,36725,Travel,19,0.94,19241,0.39,0.13,Won,Mediate,13027
C100387,13716,81396,Home,17,0.64,22207,0.09,0.14,Settled,Litigate,4548
C100388,93891,71226,Auto,3,0.32,25154,0.39,0.63,Settled,Settle,79878
C100389,92545,101182,Liability,18,0.27,27625,0.62,0.5,Settled,Mediate,48123
C100390,94912,102565,Travel,8,0.19,14182,0.43,0.05,Won,Mediate,77146
C100391,75316,49402,Travel,19,0.69,2298,0.69,0.5,Settled,Mediate,51624
C100392,7368,24263,Home,5,0.22,25628,0.35,0.25,Settled,Mediate,5410
C100393,82575,116523,Liability,7,0.6,2923,0.59,0.3,Won,Mediate,65321
C100394,11655,66828,Travel,8,0.26,22616,0.21,0.62,Won,Settle,8596
C100395,75031,67924,Auto,5,0.66,15331,0.69,0.65,Lost,Settle,53245
C100396,81429,94182,Home,17,0.81,22690,0.51,0.33,Settled,Mediate,65762
C100397,96083,113065,Liability,5,0.78,21183,0.22,0.76,Settled,Settle,74823
C100398,92922,79052,Home,4,0.76,8578,0.3,0.33,Lost,Mediate,50655
C100399,60766,31664,Auto,19,0.19,6875,0.69,0.62,Won,Settle,49652
C100400,18403,55737,Liability,2,0.09,23710,0.46,0.39,Settled,Mediate,13055
C100401,37097,109563,Home,11,0.7,14254,0.23,0.72,Settled,Settle,26255
C100402,83657,49373,Medical,13,0.37,24966,0.87,0.73,Won,Settle,64309
C100403,15966,56397,Auto,15,0.43,20186,0.66,0.08,Settled,Mediate,8166
C100404,98848,106145,Auto,12,0.03,12905,0.86,0.75,Won,Settle,79580
C100405,57921,58709,Auto,11,0.26,15353,0.41,0.66,Settled,Settle,53505
C100406,54726,81120,Medical,7,0.03,17882,0.45,0.64,Settled,Settle,51752
C100407,55300,39250,Medical,5,0.88,29429,0.81,0.17,Won,Settle,47517
C100408,27677,41172,Travel,17,0.24,21041,0.5,0.65,Settled,Settle,20492
C100409,60609,31555,Home,9,0.56,21730,0.65,0.68,Settled,Settle,56151
C100410,61661,107410,Travel,14,0.04,11663,0.26,0.24,Settled,Litigate,34414
C100411,36024,98617,Home,12,0.67,21333,0.43,0.76,Settled,Settle,26601
C100412,75313,73276,Medical,6,0.32,2941,0.15,0.05,Won,Litigate,57302
C100413,58006,77492,Medical,17,0.9,3907,0.23,0.13,Won,Litigate,39370
C100414,20338,73002,Travel,19,0.89,6837,0.05,0.43,Won,Litigate,13542
C100415,73027,109599,Liability,19,0.33,15680,0.08,0.46,Settled,Litigate,47802
C100416,97772,92355,Travel,16,0.9,26489,0.88,0.52,Settled,Settle,73337
C100417,85135,111248,Home,12,1.0,19627,0.26,0.02,Settled,Litigate,34522
C100418,24508,44762,Travel,12,0.83,7696,0.61,0.77,Lost,Settle,21372
C100419,8051,31046,Auto,6,0.84,18226,0.76,0.05,Won,Settle,6077
C100420,53747,116999,Home,4,0.25,15543,0.52,0.12,Won,Mediate,35125
C100421,92142,48769,Home,6,0.58,14615,0.18,0.02,Settled,Litigate,63670
C100422,92235,73302,Liability,11,0.07,3466,0.67,0.46,Settled,Mediate,71425
C100423,59021,43150,Medical,1,0.09,22341,0.56,0.75,Settled,Settle,48002
C100424,71412,88247,Home,15,1.0,20350,0.67,0.54,Settled,Settle,64131
C100425,63335,24853,Medical,11,0.33,2375,0.7,0.66,Settled,Settle,57613
C100426,61179,114613,Travel,19,0.75,2262,0.88,0.02,Lost,Settle,52839
C100427,37093,109399,Auto,18,0.81,22746,0.54,0.44,Settled,Mediate,21512
C100428,74678,41792,Liability,17,0.86,24886,0.34,0.37,Settled,Mediate,44500
C100429,85738,79129,Medical,19,1.0,13580,0.6,0.4,Settled,Mediate,52316
C100430,44734,94478,Home,14,0.24,29971,0.11,0.07,Lost,Litigate,16032
C100431,77615,87298,Medical,18,0.04,12136,0.81,0.55,Settled,Settle,59630
C100432,78523,51987,Home,19,0.41,9833,0.15,0.41,Won,Litigate,31782
C100433,99476,35850,Medical,15,0.13,3893,0.33,0.61,Lost,Settle,80956
C100434,22019,32112,Home,15,0.02,10106,0.74,0.39,Settled,Settle,20414
C100435,88613,44058,Travel,4,0.36,13826,0.56,0.13,Won,Mediate,47546
C100436,96794,65420,Home,7,0.78,3652,0.38,0.52,Settled,Settle,85185
C100437,91672,58890,Home,13,0.57,23924,0.45,0.15,Settled,Mediate,67887
C100438,78847,86017,Auto,3,0.31,22276,0.78,0.7,Won,Settle,57080
C100439,87750,67304,Home,16,0.65,2599,0.34,0.49,Won,Mediate,72209
C100440,84634,52921,Auto,9,0.23,23199,0.79,0.13,Settled,Settle,71271
C100441,33251,21524,Liability,8,0.01,20296,0.12,0.77,Settled,Settle,26299
C100442,30945,35048,Auto,13,0.76,27868,0.71,0.42,Settled,Settle,27514
C100443,95852,55111,Travel,17,0.62,10792,0.77,0.07,Settled,Settle,73263
C100444,37217,57904,Auto,17,0.76,26956,0.2,0.51,Settled,Settle,32504
C100445,13308,74912,Liability,17,0.04,22597,0.42,0.21,Settled,Mediate,6838
C100446,10949,54008,Travel,1,0.84,5637,0.19,0.64,Settled,Settle,9961
C100447,56990,20060,Medical,8,0.62,12355,0.65,0.66,Won,Settle,46278
C100448,6150,94666,Medical,19,0.56,17989,0.51,0.78,Settled,Settle,5283
C100449,94480,103559,Auto,6,0.62,11290,0.59,0.41,Settled,Mediate,54555
C100450,79740,75337,Auto,3,0.86,7599,0.22,0.37,Settled,Litigate,50916
C100451,71617,33350,Liability,5,0.59,24832,0.23,0.61,Lost,Settle,63958
C100452,99841,44354,Liability,13,0.58,16342,0.09,0.11,Settled,Litigate,53575
C100453,21896,65186,Home,15,0.99,26941,0.32,0.44,Settled,Mediate,15682
C100454,51175,48145,Liability,14,0.76,15945,0.53,0.44,Settled,Mediate,33760
C100455,12805,54020,Home,16,0.44,12762,0.78,0.08,Won,Settle,11825
C100456,10237,106123,Travel,18,0.71,29995,0.62,0.34,Settled,Mediate,6902
C100457,25056,95186,Auto,11,0.39,16312,0.42,0.68,Won,Settle,22812
C100458,50543,105469,Travel,3,0.23,9382,0.86,0.69,Lost,Settle,45505
C100459,61556,40581,Liability,10,0.6,29052,0.66,0.09,Won,Mediate,39622
C100460,8343,108929,Travel,10,0.93,10982,0.84,0.08,Won,Settle,6319
C100461,18500,43051,Travel,16,0.93,21953,0.5,0.22,Settled,Mediate,11879
C100462,58222,71474,Travel,12,0.34,9707,0.27,0.7,Settled,Settle,52781
C100463,34375,111748,Liability,2,0.53,19130,0.09,0.11,Lost,Litigate,14224
C100464,14662,89626,Travel,9,0.21,26888,0.67,0.58,Settled,Settle,12185
C100465,21964,26960,Home,3,1.0,6633,0.15,0.09,Settled,Litigate,15441
C100466,64638,55772,Liability,15,0.98,19304,0.31,0.5,Won,Mediate,40315
C100467,78666,41520,Travel,3,0.65,11269,0.5,0.29,Settled,Mediate,57015
C100468,90067,69481,Liability,19,0.8,15778,0.53,0.63,Settled,Settle,68577
C100469,72215,56408,Medical,18,0.72,9008,0.56,0.19,Settled,Mediate,38869
C100470,74042,114006,Home,8,0.59,17523,0.19,0.51,Settled,Settle,66533
C100471,18284,77134,Travel,17,0.05,29405,0.37,0.2,Won,Mediate,9775
C100472,77789,40491,Medical,8,0.45,20765,0.57,0.57,Settled,Settle,59729
C100473,89664,21341,Medical,7,0.67,5618,0.87,0.7,Settled,Settle,81932
C100474,98468,64623,Liability,7,0.68,27373,0.67,0.11,Settled,Mediate,61174
C100475,66389,110327,Medical,3,0.37,22827,0.83,0.69,Won,Settle,62622
C100476,14435,20338,Home,1,0.94,2272,0.7,0.48,Won,Mediate,12167
C100477,59340,91431,Home,4,0.17,29586,0.55,0.11,Settled,Mediate,35241
C100478,49078,32254,Auto,5,0.5,15007,0.21,0.35,Won,Litigate,15728
C100479,83832,71860,Home,1,0.69,20157,0.62,0.14,Settled,Mediate,62603
C100480,56293,31344,Medical,15,0.7,4547,0.58,0.56,Lost,Settle,45751
C100481,83781,21750,Home,5,0.65,5164,0.56,0.61,Settled,Settle,60756
C100482,65403,74756,Liability,13,0.28,23164,0.47,0.09,Won,Mediate,48897
C100483,34124,87957,Auto,8,0.16,16414,0.5,0.41,Settled,Mediate,17434
C100484,48919,78053,Medical,8,0.64,16327,0.33,0.65,Settled,Settle,44885
C100485,40247,90855,Auto,5,0.6,17576,0.49,0.75,Settled,Settle,29567
C100486,99758,35896,Medical,9,0.18,2946,0.22,0.42,Lost,Litigate,36277
C100487,96747,75761,Liability,1,0.71,16693,0.73,0.76,Settled,Settle,71971
C100488,67752,82552,Auto,4,0.46,29241,0.21,0.43,Lost,Litigate,52855
C100489,61573,97454,Travel,3,0.67,18890,0.12,0.32,Settled,Litigate,39812
C100490,64101,110600,Medical,2,0.84,17540,0.42,0.68,Settled,Settle,57712
C100491,31646,47935,Travel,8,0.17,8719,0.61,0.4,Settled,Mediate,20227
C100492,28049,57641,Auto,9,0.02,10435,0.42,0.38,Won,Mediate,17326
C100493,84605,49711,Travel,2,0.78,27081,0.29,0.4,Settled,Litigate,35300
C100494,73385,90342,Travel,14,0.61,13350,0.52,0.68,Lost,Settle,60187
C100495,45158,32182,Auto,14,0.7,24744,0.34,0.67,Lost,Settle,37840
C100496,70417,107833,Liability,4,0.84,26041,0.84,0.33,Lost,Settle,60413
C100497,28289,76276,Travel,6,0.8,5590,0.83,0.27,Settled,Settle,21620
C100498,14823,39541,Travel,11,0.96,12064,0.48,0.4,Won,Mediate,12333
C100499,65160,114457,Liability,3,0.54,19576,0.33,0.46,Won,Mediate,36451
C100500,46975,102310,Travel,8,0.49,19848,0.68,0.2,Settled,Mediate,39364
C100501,14540,64813,Travel,3,0.4,2390,0.08,0.64,Won,Settle,10232
C100502,21364,57198,Travel,14,0.15,23999,0.45,0.39,Settled,Mediate,14279
C100503,9611,28820,Home,13,0.57,14668,0.34,0.27,Settled,Mediate,5926
C100504,32663,44070,Liability,13,0.28,13569,0.83,0.09,Settled,Settle,26531
C100505,56991,89768,Travel,2,0.92,15029,0.06,0.2,Settled,Litigate,33358
C100506,62679,31122,Liability,13,0.58,24490,0.52,0.76,Settled,Settle,50700
C100507,35977,100559,Medical,19,0.59,15107,0.68,0.25,Settled,Mediate,23212
C100508,99704,93543,Medical,6,0.35,27248,0.46,0.14,Won,Mediate,75421
C100509,54115,103441,Travel,16,0.05,4560,0.12,0.37,Settled,Litigate,34792
C100510,96007,61786,Liability,2,0.03,7867,0.88,0.25,Settled,Settle,87204
C100511,93223,114934,Liability,8,0.42,17284,0.49,0.04,Settled,Mediate,54767
C100512,65890,119804,Liability,17,0.08,3211,0.57,0.27,Settled,Mediate,47001
C100513,71387,26737,Home,2,0.61,11121,0.25,0.44,Won,Litigate,42303
C100514,23071,56062,Medical,10,0.88,3539,0.46,0.45,Settled,Mediate,14521
C100515,64275,74237,Liability,16,0.88,27488,0.41,0.29,Won,Mediate,43071
C100516,77369,71571,Liability,6,0.66,19027,0.11,0.36,Settled,Litigate,35349
C100517,16938,45510,Home,2,0.21,10693,0.14,0.77,Won,Settle,12457
C100518,40195,39426,Home,2,0.86,10921,0.76,0.31,Settled,Settle,30284
C100519,96680,57265,Liability,13,0.89,19667,0.25,0.21,Settled,Litigate,34104
C100520,9000,37850,Auto,15,0.2,26064,0.22,0.2,Won,Litigate,5773
C100521,75588,86150,Liability,2,0.74,12310,0.48,0.37,Settled,Mediate,55274
C100522,98610,107312,Liability,7,0.29,25729,0.7,0.61,Won,Settle,92461
C100523,43304,109613,Home,3,0.8,14744,0.1,0.17,Won,Litigate,28790
C100524,74449,94910,Home,8,1.0,6386,0.54,0.57,Settled,Settle,53082
C100525,87986,72375,Liability,14,0.03,19303,0.15,0.03,Settled,Litigate,65296
C100526,94643,55435,Liability,7,0.9,14242,0.08,0.34,Settled,Litigate,69215
C100527,25764,116443,Liability,7,0.62,20723,0.09,0.62,Lost,Settle,20890
C100528,91027,77132,Home,1,0.97,16257,0.76,0.28,Won,Settle,77051
C100529,43494,98945,Liability,17,0.47,10947,0.15,0.46,Settled,Litigate,34274
C100530,8373,102050,Liability,9,0.85,15946,0.09,0.17,Settled,Litigate,4740
C100531,17161,115402,Travel,13,0.06,7930,0.42,0.6,Settled,Settle,15896
C100532,97658,22983,Auto,19,0.34,7402,0.77,0.05,Won,Settle,70387
C100533,32350,117241,Medical,19,0.07,24047,0.27,0.68,Settled,Settle,24190
C100534,98008,40662,Auto,17,0.98,28445,0.41,0.17,Settled,Mediate,64123
C100535,99297,43510,Travel,10,0.82,18017,0.08,0.7,Lost,Settle,84024
C100536,30351,98187,Medical,10,0.85,23659,0.43,0.29,Settled,Mediate,23846
C100537,93668,60998,Liability,4,0.94,2507,0.54,0.58,Settled,Settle,88709
C100538,20305,76846,Travel,8,0.09,3436,0.54,0.26,Lost,Mediate,12915
C100539,80353,114071,Liability,18,0.39,29151,0.33,0.73,Won,Settle,57199
C100540,81797,26640,Home,14,0.07,13618,0.32,0.11,Settled,Mediate,63835
C100541,70953,64547,Travel,18,0.21,10750,0.14,0.15,Settled,Litigate,42727
C100542,62458,74620,Home,14,0.23,18122,0.36,0.4,Settled,Mediate,35569
C100543,25358,35317,Travel,15,0.47,9354,0.13,0.07,Settled,Litigate,13881
C100544,8267,27564,Travel,4,0.27,13294,0.7,0.16,Lost,Mediate,6281
C100545,87745,47345,Home,13,0.1,22900,0.87,0.76,Settled,Settle,78321
C100546,94588,114223,Medical,8,0.17,15840,0.87,0.78,Won,Settle,78026
C100547,43513,99273,Auto,18,0.15,22006,0.79,0.31,Lost,Settle,33779
C100548,31092,94859,Liability,12,0.97,6399,0.56,0.74,Settled,Settle,29333
C100549,16338,100765,Travel,14,0.76,7037,0.65,0.44,Settled,Mediate,11962
C100550,5412,94038,Liability,2,0.97,26495,0.29,0.22,Settled,Litigate,2728
C100551,12543,72393,Home,18,0.44,17848,0.59,0.56,Lost,Settle,9659
C100552,38496,86081,Liability,2,0.28,5715,0.44,0.53,Won,Settle,33983
C100553,65692,49430,Home,11,0.8,16877,0.46,0.79,Settled,Settle,49961
C100554,94084,95532,Liability,9,0.33,9837,0.69,0.22,Won,Mediate,52696
C100555,97920,47788,Auto,12,0.3,3301,0.29,0.54,Settled,Settle,81514
C100556,49425,115505,Auto,17,0.23,9370,0.32,0.05,Lost,Mediate,29728
C100557,43756,68543,Auto,15,0.13,23569,0.84,0.1,Settled,Settle,37508
C100558,23888,33919,Auto,17,0.26,20539,0.1,0.01,Settled,Litigate,8575
C100559,40735,89346,Auto,18,0.36,8411,0.46,0.8,Lost,Settle,35184
C100560,52295,116122,Auto,6,0.67,8365,0.83,0.64,Settled,Settle,40310
C100561,88042,59974,Home,17,0.06,17449,0.57,0.63,Settled,Settle,61634
C100562,90999,36371,Travel,18,0.21,2692,0.51,0.41,Settled,Mediate,49542
C100563,22955,65084,Liability,8,0.81,3478,0.26,0.25,Settled,Litigate,17602
C100564,42841,49629,Auto,9,0.15,8396,0.34,0.13,Settled,Mediate,34425
C100565,75640,71184,Home,6,0.34,10448,0.77,0.23,Lost,Settle,57365
C100566,70510,81916,Home,5,0.86,12622,0.53,0.31,Settled,Mediate,54464
C100567,39911,93972,Home,12,0.15,18825,0.49,0.61,Settled,Settle,34009
C100568,64031,82187,Travel,11,0.08,12073,0.13,0.44,Won,Litigate,50293
C100569,93726,32984,Liability,1,0.48,4646,0.06,0.07,Settled,Litigate,45626
C100570,12357,53039,Travel,11,0.3,7209,0.87,0.02,Settled,Settle,10755
C100571,37479,105431,Medical,19,0.56,8533,0.37,0.09,Won,Mediate,19572
C100572,66476,103691,Home,9,0.8,23061,0.56,0.33,Lost,Mediate,42457
C100573,49811,78606,Medical,2,0.14,9211,0.12,0.75,Won,Settle,46869
C100574,41208,30616,Auto,12,0.58,11927,0.63,0.51,Won,Settle,34398
C100575,25150,70072,Auto,4,0.51,13927,0.84,0.64,Settled,Settle,19415
C100576,76180,44574,Travel,4,0.14,21029,0.54,0.38,Lost,Mediate,41296
C100577,48286,23430,Liability,18,0.62,26594,0.16,0.3,Settled,Litigate,31471
C100578,73450,32676,Medical,15,0.27,11316,0.54,0.1,Won,Mediate,53302
C100579,26352,30816,Liability,19,0.49,14177,0.7,0.7,Settled,Settle,20909
C100580,60069,52733,Travel,13,0.08,12846,0.4,0.63,Lost,Settle,56328
C100581,19397,105680,Auto,19,0.46,9933,0.8,0.14,Won,Settle,13685
C100582,46555,22050,Liability,17,0.31,7476,0.6,0.41,Won,Mediate,28226
C100583,51959,53933,Liability,6,0.82,15853,0.81,0.4,Settled,Settle,48335
C100584,5728,44951,Auto,16,0.06,9928,0.58,0.5,Settled,Mediate,3507
C100585,55517,52413,Medical,12,0.42,4080,0.16,0.76,Won,Settle,42362
C100586,71234,54801,Auto,19,0.46,8089,0.31,0.47,Won,Mediate,48936
C100587,44954,75619,Liability,5,0.73,25780,0.22,0.44,Settled,Litigate,32002
C100588,52280,52913,Medical,17,0.57,28123,0.82,0.05,Lost,Settle,37944
C100589,84459,60600,Medical,1,0.67,9797,0.7,0.06,Lost,Mediate,70105
C100590,21779,77775,Auto,10,0.78,19245,0.62,0.16,Settled,Mediate,16950
C100591,68932,110816,Liability,15,0.86,10346,0.31,0.04,Won,Mediate,38838
C100592,77936,110093,Travel,11,0.31,21878,0.21,0.6,Settled,Settle,68427
C100593,29466,55400,Liability,13,0.54,2904,0.69,0.58,Settled,Settle,23461
C100594,41939,24494,Home,5,0.84,19653,0.45,0.12,Settled,Mediate,26874
C100595,74896,100688,Travel,1,0.99,18788,0.24,0.67,Settled,Settle,67093
C100596,40270,109431,Medical,12,0.89,27419,0.57,0.13,Won,Mediate,33704
C100597,64163,94691,Travel,11,0.37,11974,0.08,0.25,Settled,Litigate,23312
C100598,87637,117419,Medical,17,0.2,28140,0.33,0.21,Won,Mediate,56720
C100599,56934,63001,Medical,4,0.49,3184,0.45,0.3,Won,Mediate,38050
C100600,69895,87364,Travel,15,0.74,27322,0.18,0.21,Won,Litigate,34119
C100601,37307,65028,Medical,9,0.49,3725,0.89,0.4,Settled,Settle,29502
C100602,59098,117659,Medical,19,0.48,13380,0.23,0.33,Lost,Litigate,19273
C100603,65921,57573,Home,19,0.84,26846,0.16,0.79,Settled,Settle,57442
C100604,10486,20806,Liability,12,0.36,15057,0.22,0.05,Settled,Litigate,5432
C100605,13335,76638,Liability,5,0.86,24195,0.7,0.12,Settled,Mediate,7576
C100606,91900,49757,Home,10,0.41,7606,0.41,0.05,Settled,Mediate,72197
C100607,94112,54636,Travel,17,0.33,5956,0.53,0.5,Lost,Mediate,73491
C100608,16130,100097,Auto,5,0.45,18555,0.07,0.05,Settled,Litigate,8761
C100609,92508,68280,Auto,16,0.76,26849,0.08,0.67,Won,Settle,71657
C100610,65566,44262,Auto,7,0.13,20690,0.43,0.41,Settled,Mediate,47426
C100611,71703,100435,Home,9,0.2,27734,0.74,0.43,Settled,Settle,55357
C100612,32192,82211,Home,3,0.95,28282,0.8,0.45,Lost,Settle,24433
C100613,6062,74842,Medical,15,0.18,18081,0.12,0.14,Won,Litigate,4032
C100614,89076,76979,Auto,16,0.57,28347,0.51,0.17,Settled,Mediate,45795
C100615,94780,101470,Travel,18,0.58,2421,0.83,0.26,Settled,Settle,68591
C100616,26545,58197,Travel,14,0.49,7540,0.38,0.48,Settled,Mediate,13335
C100617,26689,61844,Auto,3,0.64,27785,0.76,0.18,Settled,Settle,19702
C100618,16174,84754,Auto,12,0.23,18288,0.16,0.1,Won,Litigate,5410
C100619,93461,54157,Auto,9,0.55,17966,0.85,0.78,Won,Settle,88689
C100620,14348,97129,Home,7,0.37,17882,0.69,0.03,Settled,Mediate,8624
C100621,28714,60042,Home,9,0.66,6675,0.85,0.64,Lost,Settle,21171
C100622,43102,81665,Home,13,0.14,11082,0.63,0.63,Settled,Settle,32768
C100623,79460,102856,Liability,18,0.57,15009,0.36,0.24,Settled,Mediate,65764
C100624,94930,47376,Travel,5,0.19,29843,0.85,0.12,Settled,Settle,78795
C100625,11801,75554,Travel,13,0.28,8748,0.28,0.13,Won,Litigate,5692
C100626,77267,34199,Medical,4,0.22,8103,0.33,0.56,Settled,Settle,70957
C100627,53136,101412,Home,2,0.18,19857,0.65,0.52,Settled,Settle,42442
C100628,28625,70948,Liability,16,0.83,21627,0.7,0.63,Settled,Settle,22434
C100629,87873,93781,Liability,9,0.29,20565,0.84,0.75,Settled,Settle,66064
C100630,77592,92750,Travel,9,0.93,28025,0.22,0.56,Won,Settle,61642
C100631,82052,86262,Home,6,0.97,21480,0.73,0.13,Settled,Settle,63932
C100632,49261,66600,Medical,11,0.57,25030,0.68,0.2,Settled,Mediate,36308
C100633,6542,96898,Home,1,0.14,29832,0.1,0.68,Won,Settle,5053
C100634,26677,82483,Auto,4,0.37,13348,0.38,0.18,Lost,Mediate,18727
C100635,51732,38297,Home,13,0.8,11782,0.29,0.07,Lost,Litigate,17223
C100636,55343,50448,Auto,13,0.37,7882,0.31,0.57,Settled,Settle,41386
C100637,44081,46172,Auto,13,0.09,24366,0.89,0.33,Settled,Settle,35346
C100638,67856,62874,Medical,2,0.56,7798,0.6,0.74,Settled,Settle,63393
C100639,98105,27657,Travel,9,0.85,11627,0.66,0.52,Settled,Settle,77926
C100640,93858,104386,Home,8,0.8,10415,0.88,0.08,Lost,Settle,81282
C100641,24065,45425,Auto,7,0.18,26795,0.37,0.76,Settled,Settle,18380
C100642,88460,46685,Home,4,0.67,14466,0.73,0.21,Settled,Settle,64731
C100643,93092,44578,Travel,18,0.22,11846,0.42,0.28,Settled,Mediate,48453
C100644,59693,48831,Travel,3,0.22,14720,0.79,0.33,Settled,Settle,46342
C100645,31962,27906,Liability,6,0.87,26840,0.2,0.05,Won,Litigate,12108
C100646,33295,81413,Travel,12,0.25,11145,0.86,0.4,Settled,Settle,24754
C100647,18807,74028,Medical,12,0.26,6524,0.24,0.11,Settled,Litigate,12795
C100648,47348,27287,Auto,8,0.0,8559,0.33,0.33,Settled,Mediate,23936
C100649,31432,53660,Liability,1,0.87,9620,0.69,0.29,Settled,Mediate,21852
C100650,88285,95758,Medical,4,0.79,21158,0.38,0.62,Settled,Settle,70174
C100651,96792,80504,Home,11,0.63,24057,0.57,0.64,Won,Settle,80011
C100652,62854,79720,Auto,3,0.75,5124,0.43,0.13,Settled,Mediate,43808
C100653,45262,54701,Travel,13,0.15,10671,0.68,0.3,Won,Mediate,27595
C100654,42080,103300,Auto,17,0.46,13706,0.24,0.3,Lost,Litigate,18833
C100655,6324,37674,Home,10,0.35,19737,0.1,0.13,Lost,Litigate,4216
C100656,96267,103560,Liability,12,0.09,29898,0.3,0.64,Lost,Settle,88355
C100657,40909,43874,Liability,15,0.49,14070,0.45,0.57,Settled,Settle,30605
